id,name,autonomous_community,province,municipality,island,restriction_class,status,confidence,effect_start,effect_end,effect_date,effect_time_note,description,affected_modes,exemptions,road_code,road_reference,direction,planning_relevance,geometry_type,geometry_quality,map_query,source_urls,source_publishers,last_verified,notes
gal-lu-03,Monte Comado,Galicia,Lugo,Barreiros,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Monte Comado, Barreiros, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-04,Monte Cornería,Galicia,Lugo,Barreiros,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Monte Cornería, Barreiros, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-05,Monte Pebanor,Galicia,Lugo,Barreiros,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Monte Pebanor, Barreiros, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-06,Santo Estevo do Ermo,Galicia,Lugo,Barreiros,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Santo Estevo do Ermo, Barreiros, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-07,Explanada do Parque dos Condes,Galicia,Lugo,Monforte de Lemos,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Explanada do Parque dos Condes, Monforte de Lemos, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-08,Miradoiro de Tixoso,Galicia,Lugo,O Vicedo,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Miradoiro de Tixoso, O Vicedo, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-09,Ponte do Río Sor,Galicia,Lugo,O Vicedo,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Ponte do Río Sor, O Vicedo, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-10,Miradoiro das Laxes,Galicia,Lugo,O Vicedo,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Miradoiro das Laxes, O Vicedo, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-11,Ponte do Porto,Galicia,Lugo,O Vicedo,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Ponte do Porto, O Vicedo, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-12,Miradoiro de Moreiras,Galicia,Lugo,O Vicedo,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Miradoiro de Moreiras, O Vicedo, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-13,Fuciño do Porco,Galicia,Lugo,O Vicedo,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Fuciño do Porco, O Vicedo, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-14,Zona próxima á Ermida de San Marcos,Galicia,Lugo,Sarria,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Zona próxima á Ermida de San Marcos, Sarria, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-15,Acantilados de Papel,Galicia,Lugo,Xove,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Acantilados de Papel, Xove, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-16,Punta da Mansa,Galicia,Lugo,Xove,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Punta da Mansa, Xove, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-17,Faro Roncadoiro,Galicia,Lugo,Xove,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Faro Roncadoiro, Xove, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-ou-01,Pista de montaña no Miradoiro de San Martín,Galicia,Ourense,A Rúa,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Pista de montaña no Miradoiro de San Martín, A Rúa, Ourense, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-po-01,Xestoso,Galicia,Pontevedra,Silleda,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Xestoso, Silleda, Pontevedra, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-po-02,Fervenza do Toxa,Galicia,Pontevedra,Silleda,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Fervenza do Toxa, Silleda, Pontevedra, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-po-03,Monte da Guía,Galicia,Pontevedra,Vigo,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Monte da Guía, Vigo, Pontevedra, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
bal-ma-01,Sant Elm access,Illes Balears,Illes Balears,Andratx,Mallorca,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access will be closed or regulated at the stated control point.,car; motorcycle; moped,accredited residents; persons with an accredited home in the restricted zone; accredited workers; public transport; hotel/accommodation guests under published conditions; restaurant customers with reservation and assured parking; emergency and essential public services; other vehicles specifically authorized by the competent authority,Ma-1030,"Roundabout from s'Arracó to Sant Elm, at Ma-1050 junction",,private_vehicle_access_restricted,,official_road_reference_no_coordinates,"Ma-1030, Roundabout from s'Arracó to Sant Elm, at Ma-1050 junction, Andratx, Mallorca, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,2026-08-02T09:30:00+02:00,
bal-ma-02,Andratx Ma-10 access,Illes Balears,Illes Balears,Andratx,Mallorca,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access will be closed or regulated at the stated control point.,car; motorcycle; moped,accredited residents; persons with an accredited home in the restricted zone; accredited workers; public transport; hotel/accommodation guests under published conditions; restaurant customers with reservation and assured parking; emergency and essential public services; other vehicles specifically authorized by the competent authority,Ma-10,Ma-10 / Ma-1031 roundabout,,private_vehicle_access_restricted,,official_road_reference_no_coordinates,"Ma-10, Ma-10 / Ma-1031 roundabout, Andratx, Mallorca, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,2026-08-02T09:30:00+02:00,
bal-ma-03,Cala Estellencs access,Illes Balears,Illes Balears,Estellencs,Mallorca,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access will be closed or regulated at the stated control point.,car; motorcycle; moped,accredited residents; persons with an accredited home in the restricted zone; accredited workers; public transport; hotel/accommodation guests under published conditions; restaurant customers with reservation and assured parking; emergency and essential public services; other vehicles specifically authorized by the competent authority,Ma-10,Camí des Port / Cala Estellencs access,,private_vehicle_access_restricted,,official_road_reference_no_coordinates,"Ma-10, Camí des Port / Cala Estellencs access, Estellencs, Mallorca, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,2026-08-02T09:30:00+02:00,
