id,name,autonomous_community,province,municipality,restriction_type,restriction_class,status,confidence,effect_start,effect_end,effect_date,effect_time_note,description,affected_transport_modes,affected_modes,exemptions,road_code,road_location_reference,road_reference,direction,planning_relevance,geometry_quality,map_query,source_urls,source_publisher,source_publishers,verification_timestamp,last_verified,notes
bal-ib-04,Cala Bassa access,Illes Balears,Illes Balears,Sant Josep de sa Talaia,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,EI-702,"EI-702 / Cala Bassa road intersection, km 1.900","EI-702 / Cala Bassa road intersection, km 1.900",,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Cala Bassa access, Sant Josep de sa Talaia, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-01,Sant Elm access,Illes Balears,Illes Balears,Andratx,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-1030,"Roundabout from s'Arracó to Sant Elm, at Ma-1050 junction","Roundabout from s'Arracó to Sant Elm, at Ma-1050 junction",,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Sant Elm access, Andratx, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-02,Andratx Ma-10 access,Illes Balears,Illes Balears,Andratx,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-10,Ma-10 / Ma-1031 roundabout,Ma-10 / Ma-1031 roundabout,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Andratx Ma-10 access, Andratx, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-03,Cala Estellencs access,Illes Balears,Illes Balears,Estellencs,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-10,Camí des Port / Cala Estellencs access,Camí des Port / Cala Estellencs access,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Cala Estellencs access, Estellencs, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-04,Cala Banyalbufar access,Illes Balears,Illes Balears,Banyalbufar,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-10,Camí des Molí / Cala Banyalbufar access,Camí des Molí / Cala Banyalbufar access,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Cala Banyalbufar access, Banyalbufar, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-05,Esporles Ma-10 controls,Illes Balears,Illes Balears,Esporles,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-10,Ma-1100 / Ma-1101 and Ma-10 / Ma-1100 junctions,Ma-1100 / Ma-1101 and Ma-10 / Ma-1100 junctions,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Esporles Ma-10 controls, Esporles, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-06,Valldemossa Ma-10 access,Illes Balears,Illes Balears,Valldemossa,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-10,Ma-10 from Ma-1130,Ma-10 from Ma-1130,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Valldemossa Ma-10 access, Valldemossa, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-07,Deià coastal accesses,Illes Balears,Illes Balears,Deià,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-10,"Camí de Sa Cala, Cala Deià road and Sa Foradada access","Camí de Sa Cala, Cala Deià road and Sa Foradada access",,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Deià coastal accesses, Deià, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-08,Sóller Ma-10 controls,Illes Balears,Illes Balears,Sóller,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-10,Monument roundabout and Ma-10 / Ma-11 junction,Monument roundabout and Ma-10 / Ma-11 junction,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Sóller Ma-10 controls, Sóller, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-09,Fornalutx Ma-10 access,Illes Balears,Illes Balears,Fornalutx,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-10,"km 47.500, junction with Ma-2120","km 47.500, junction with Ma-2120",,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Fornalutx Ma-10 access, Fornalutx, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-10,Escorca Ma-10 access,Illes Balears,Illes Balears,Escorca,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-10,Ma-2141 / Ma-10 junction,Ma-2141 / Ma-10 junction,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Escorca Ma-10 access, Escorca, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-11,Caimari Ma-10 closure,Illes Balears,Illes Balears,Selva,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-10,Ma-2130 / Creu de Caimari,Ma-2130 / Creu de Caimari,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Caimari Ma-10 closure, Selva, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-12,Formentor eclipse access control,Illes Balears,Illes Balears,Pollença,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-2210,Ma-10 km 0 / Ma-2210-Ma-2200 approaches to Mirador des Colomer and Formentor,Ma-10 km 0 / Ma-2210-Ma-2200 approaches to Mirador des Colomer and Formentor,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Formentor eclipse access control, Pollença, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-13,Maioris / Puig de Ros urbanization accesses,Illes Balears,Illes Balears,Llucmajor,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-6014,km 6.200 and km 7.000,km 6.200 and km 7.000,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Maioris / Puig de Ros urbanization accesses, Llucmajor, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-14,Cap Blanc access,Illes Balears,Illes Balears,Llucmajor,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-6014,km 18.000,km 18.000,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Cap Blanc access, Llucmajor, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-15,Santuari de Cura ascent,Illes Balears,Illes Balears,Algaida,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-5018,restriction from start of Ma-5018,restriction from start of Ma-5018,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Santuari de Cura ascent, Algaida, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-16,Platja de Palma road and parking controls,Illes Balears,Illes Balears,Palma,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T08:00:00+02:00,,2026-08-12,08:00–12:00 accredited-access regime; from 12:00 wider vehicle closure under the published Palma plan.,Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-19,"exits 6, 7A, 8, 11 and 12 toward Llucmajor; wider beach-zone controls","exits 6, 7A, 8, 11 and 12 toward Llucmajor; wider beach-zone controls",,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Platja de Palma road and parking controls, Palma, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-17,Puig de Sant Salvador ascent,Illes Balears,Illes Balears,Felanitx,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-4011,km 1.000,km 1.000,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Puig de Sant Salvador ascent, Felanitx, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ma-18,Ermita de Betlem access,Illes Balears,Illes Balears,Artà,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,Ma-3333,km 5.000,km 5.000,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Ermita de Betlem access, Artà, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
